Platform,Provider,Model,Input $/1M tokens,Output $/1M tokens,Context Window
openrouter,OpenAI,gpt-4o,2.5,10.0,128000
openrouter,OpenAI,gpt-4o-mini,0.15,0.6,128000
openrouter,OpenAI,gpt-4-turbo,10.0,30.0,128000
openrouter,OpenAI,o1,15.0,60.0,200000
openrouter,OpenAI,o1-mini,3.0,12.0,128000
openrouter,OpenAI,o3-mini,1.1,4.4,200000
openrouter,Anthropic,claude-opus-4,15.0,75.0,200000
openrouter,Anthropic,claude-sonnet-4,3.0,15.0,200000
openrouter,Anthropic,claude-haiku-3.5,0.8,4.0,200000
openrouter,DeepSeek,deepseek-v3,0.27,1.1,128000
openrouter,DeepSeek,deepseek-r1,0.55,2.19,128000
openrouter,DeepSeek,deepseek-v4-pro,0.44,0.87,1048576
openrouter,DeepSeek,deepseek-v4-flash,0.1,0.2,1048576
openrouter,Google,gemini-2.0-flash,0.1,0.4,1000000
openrouter,Google,gemini-2.0-pro,1.25,10.0,2000000
openrouter,Google,gemini-1.5-pro,1.25,5.0,2000000
openrouter,Mistral,mistral-large,2.0,6.0,128000
openrouter,Mistral,mistral-small,0.1,0.3,128000
openrouter,Mistral,codestral,0.3,0.9,256000
openrouter,Meta,llama-3.3-70b,0.59,0.79,128000
openrouter,Meta,llama-3.1-405b,3.0,3.0,128000
openrouter,Meta,llama-3.1-8b,0.05,0.08,128000
openrouter,Qwen,qwen3.7-max,1.48,4.43,1000000
openrouter,Qwen,qwen3.7-plus,0.32,1.28,1000000
openrouter,Qwen,qwen3.6-max-preview,1.04,6.24,262144
openrouter,Qwen,qwen3.6-plus,0.33,1.95,1000000
openrouter,Qwen,qwen3.6-flash,0.19,1.13,1000000
